原文,訳文
Prince of Fools,道化の大公
Jester's Court,道化広場
Jesters' Guild,道化師ギルド
tool,道具
Tools,道具
Tools and Skills Together,道具と技能の併用
Tool Descriptions,道具の詳細
components,道具の中身
Tool Proficiency,道具習熟
Tool Expertise,道具習熟強化
Moral Quandaries,道徳上の問題
Loyal Order of Street Laborers,道路工事労働者友愛組合
copper elf,銅のエルフ
Copper piece,銅貨/cp
Copper Street,銅大通り
Copper Cup,銅杯会館
favored terrain,得意な地形
Favored Enemy,得意な敵
Criminal Specialty,得意な犯罪
Favorite Schemes,得意ネタ
unfriendly,特に友好的ではない
Aberrant Dragonmark,特異型ドラゴンマーク
Aberrant Dragonmark Innate Spells,特異型ドラゴンマーク生得呪文
Aberrant (mark),特異型マーク
feat,特技
Special Rights,特権
Special,特殊
Buying a Special Item,特殊なアイテムの購入
Special Creatures,特殊なクリーチャー
Exotic Saddle,特殊な鞍
Special Travel Pace,特殊な移動のペース
special senses,特殊な感覚
Unusual Environments,特殊な環境
Special Equipment,特殊な装備
Special Features,特殊な特徴
Terms of the Pact,特殊条項
property,特性
Big Belchy,特大げっぷ号
Oversized Longbow,特大ロングボウ
Feature,特徴
Special Trait(s),特徴
Adding a Special Trait,特徴の追加
Take out a Single Target,特定目標の殺害
Notable Locations,特筆すべき土地
Notable Behavior or Tactics,特筆すべき癖や戦術
Special Circumstances,特別な状況
Special Encounters,特別な遭遇
Special Allies,特別な味方
Special Purpose,特別な目的
Special Favors,特別の助力
Poisons,毒
Poison Darts,毒のダーツ
Poisoned Dart,毒のダーツ
Poisonous Pistol,毒のピストル
Poison Breath,毒のブレス
Purchasing Poison,毒の購入
Crafting and Harvesting Poison,毒の採取と調製
Handle Poison,毒の取り扱い
Mistress of Disease,毒の女王
Poisonous Touch,毒の接触
Poisonous Skin,毒の皮膚
Poison Splash,毒の返り血
Sample Poisons,毒の例
The Poisoned Quill,毒を綴る羽ペン
Poison Sense,毒感知
Poison's Disciple,毒使い
Viper,毒蛇
poisoned,毒状態
Poison Needle,毒針
Poison Quills,毒針
Sting,毒針
Stinger,毒針
Spit Poison,毒吐き
Lonehunter,独り狩る者
dictatorship,独裁制
Possessive,独占欲の強い
Independent Realms,独立の諸地域
independent mount,独立行動中の乗騎
Out for Themselves,独立独歩
Independent Adventurers,独立独歩の冒険者
Greater Comprehension,読解力向上
master reader,読師（どくし）
Scouring Instruction,突き刺さる指示
Stab,突き刺し
shove,突き飛ばし／突き飛ばす
Pushing Ray,突き飛ばし光線
Charge,突撃
Gust,突風
Hog Street,豚大通り
Intoxicated Frenzy,呑一升天下無敵
Smoking Mirror（Smoke）,曇り鏡（クモリ）
Torpor,鈍麻剤
The Gaping Maw,奈落の大顎
Abyssal,奈落語
beast within,内なる獣
Seekers of the Divinity Within,内なる神性の探究者
Inner Sun,内なる太陽
Vale of the Inner Sun,内なる太陽の谷
Eating From Within,内より喰らう者
Inner Plane,内方次元界
Calm,凪
Slashing Flourish,薙ぎ払う美技
naginata,薙刀
Mysterious Passengers,謎の旅客
A Question of Enmity,謎めいた敵意
Inscrutable,謎めいた面持ち
Cryptic Whispers,謎めく死者のささやき
South Vigil,南監視所
Southern Ward,南区
Southern Star School,南星門
Master of the South Towers,南塔監督
South Sea Caves Entrance,南部海洋洞窟入口
Southern Isles,南方諸島
North and South Poles,南北両極
South Gate,南門
Charm of Feather Falling,軟着陸の恵み
Moderate wind,軟風
Difficulty Class,難易度
Determine XP Thresholds,難易度ごとの経験点基準値を求める
Shipwrecks,難破
REFUGEES AND VICTIMS,難民と犠牲者
Of Two Worlds,二つの世界に属する者
Dualism,二元論
Split Enchantment,二股の心術
Compare XP,二種類の経験点を比較する
Dual Consciousness,二重意識
Doublelock,二重錠
Dual Mind,二重精神
A Tale of Two Cities,二都物語
Twice-Orphaned,二度孤児となりし
Second Chance,二度目の正直
Two-Weapon Fighting,二刀流
Two Flask Alley,二瓶通り
Twin Teeth,二本の歯
Dual Shields,二枚盾
Double Crossbow,二連クロスボウ
Guild of Butchers,肉屋ギルド
Butchers' Block,肉屋のまな板
Chop Street,肉切り大通り
Wholeness of Body,肉体の完成
Body Thief,肉体泥棒
Natural Weapons,肉体武器
Sculptor of Flesh,肉体変容
Flesh-Crushing Stride,肉潰す突進
Flesh Rot,肉腐症
Flesh Ripper,肉裂き
Opalescent white,虹色の光沢ある白
Tongue of the Sun and Moon,日月語
sunlight,日光
Sunlight Weakness,日光による弱体化
sunlight sickness,日光による不調
Sunlight Banishment,日光による放逐
Sunlight Vulnerability,日光への脆弱性
Sunlight Sensitivity,日光過敏
Sunlight Hypersensitivity,日光超過敏
Journals,日誌
Everyday Impact,日常への影響
Everyday Magic Item,日常的な魔法のアイテム
Keeping Time from Day to Day,日々の時刻の測り方
Sunset Mountains,日没山脈
Utensils and Personal Items,日用雑貨と個人的な持ち物
initiate,入信者
any one language,任意の言語1種類
any alignment,任意の属性
Creeping Darkness,忍び寄る暗闇
Creeping Death,忍び寄る死の気配
god of endurance,忍耐の神
Cat,猫
Cat Lord,猫の主
Feline Agility,猫の瞬発力
Cat's Talent,猫の天性
Cat's Grace,猫の敏捷力
cat folk,猫人
claw-footed,猫足（の）
Cat Alley,猫通り
Cat's Claws,猫爪
Zealous Presence,熱狂の威風
Incite Fanaticism,熱狂的に戦え
Sirocco Straits,熱風界峡
The Drawing Down,年備月
age,年齢
Life Events by Age,年齢ごとの重大なできごと
Telekinetic Ray,念動光線
Forceful Slam,念力叩きつけ
Telekinetic Thrust,念力放り投げ
Burnt Wagon Way,燃えた馬車の道
The Burning Ring,燃えるリング
Burning Fury,燃える怒り
Flaming Fury,燃える怒り
Flamed One,燃え上がる者
Mucous Cloud,粘液雲
Eject Slime,粘液放出
Ooze,粘体
Prince of Slime,粘体の大公
Caverns of Ooze,粘体の洞窟
Ooze Grottos,粘体の洞窟
Slime Pits,粘体の魔窟
Tangler Grenade,粘着グレネード
Adhesive,粘着液
Adhesive Filament,粘着糸
Clay No-Face,粘土のノーフェイス（顔無し）
Solid Fog,粘霧
Active Element,能動要素
Speakers' Guild,能弁家ギルド
Meritocracy,能力制
Ability Scores and Modifiers,能力値と能力修正値
Ability Options,能力値のオプション・ルール
Ability Score Summary,能力値の要約
Ability Score Point Cost,能力値ポイント
Using Ability Scores,能力値を使用する
Ability Score Improvement,能力値上昇
ability score increase,能力値上昇
ability check,能力値判定
Ability Checks,能力値判定
Ability Check Proficiency,能力値判定への習熟
Adjusted Ability Scores,能力値変更
Brain-Dog,脳みそ犬
Brain Chamber,脳室
Brain Library,脳書庫
Extract Brain,脳髄引き抜き
Extractor Staff,脳摘出杖
Skull Cleaver,脳天割り
Skullbash,脳天打ち
theater of the mind,脳内劇場スタイル
ceremorphosis,脳変成
Brain Jar,脳壺
Council of Farmer-Grocers,農業・食品小売業協議会
Farm,農場
Farmers' Gate,農夫門
flea-bit,蚤銭
Aura of Conquest,覇道のオーラ
Conquering Presence,覇道の威風
Oath of Conquest,覇道の誓い
waveservant,波の従僕
the Wavemother,波の母
Wave Echo Cave,波音の洞窟
Harborside Hospital,波止場施療院
Dock Street,波止場大通り
Secondary Tables,派生表
Devastating Roll,破壊のローラー
The Academy of Devastation,破壊の学院
Destructive Claws,破壊の爪
Wrecking Ball,破壊の鉄球
Sonic Scream,破壊音波
the Destroyer,破壊者
Trumpet of Blasting,破砕のラッパ
Ram,破城槌
fragmentation grenade,破片グレネード
"Grenade, fragmentation",破片グレネード
Ruin,破滅
Sphere of Crushing Doom,破滅の粉砕大鉄球
Doomvault,破滅の迷宮
Doomvault Lore,破滅の迷宮の秘密
Into the Doomvault,破滅の迷宮へ
Doomvault Devotion,破滅の迷宮への献身
"Tack, Harness, and Drawn Vehicles",馬具および牽引型の乗り物
Coachlamp Lane,馬車ランプ通り
Wagon-makers' and Coach Builders' Guild,馬車職人ギルド
Coach Street,馬車大通り
umayari,馬槍
District of Discards,廃棄物地区
Ruins,廃墟
The Ruins: General Features,廃墟：全体の特徴
Ruined Dhakaani Fort,廃墟となったダカーンの城砦
lose,敗北（する）
background,背景
Backgrounds,背景
Background Proficiency,背景による習熟
Customizing a Background,背景のカスタマイズ
Creating a Background,背景の自作
Creating a Background,背景を自作する
setting,背景世界／世界設定
Spine Snapper,背骨折り
Backpack Parachute,背負い式パラシュート
backpack,背負い袋
rear arc,背面
Plumbers' Guild,配管工ギルド
Courier,配達使
Courier's Guild,配達使ギルド
Courier's Speed,配達使の足
Messenger,配達人
buyer,買い手
shady buyer,買い手
Spells for Sale,売っている呪文
Salable Magic Items,売却可能な魔法のアイテム
Buying and Selling,売買
damages,賠償金
Amendsfarm,賠償農場
Slither,這いずり移動
Slithering Lord,這い寄る王
Oozing Hunger,這い寄る飢え
Crawling Swamp,這い沼
THE CRAWLING SWAMP,這い沼
crawl,這い進む
Crawling Queen,這うものどもの女王
Plague of Worms,這う虫の災い
the Lord of Flies,蝿の王
aunties,伯母様
Knowledgeable One,博識なる者
Spiraling white,白い渦巻き
white hands,白い手
White Maw,白い大顎
Pale Lavender Elipsoid Ellipsoid,白に近い薄紫色の楕円体
"Zelenn the White, Overwizard of the West",白のゼレン、西の高位魔道士
the White-Handed,白の手
White Hands,白の手
Touch of the White Hand,白の手の接触
White Gate,白の門
White Plume Mountain,白羽山
White Plume Mountain,白羽山の迷宮
White Sea,白海
Silverwatch,白銀衛士隊
Knights in Silver,白銀騎士団
Skeletal Remains,白骨死体
Idiot,白痴
White Sails company,白帆団
Court of the White Bull,白雄牛の広場
White Bull Tavern,白雄牛亭
Low Lantern,薄あかり丸
pale blue rhomboid,薄い青色の平行六面体
Thin ice,薄い氷
Shady Nightclub,薄暗いナイトクラブ
marbled lavender and green ellipsoid,薄紫と緑が混じった楕円体
smiling ones,薄笑う者たち
pale green prism,薄緑色の三角柱
Year of Advancing Shadows,迫り来る影の年
Idyllic Touch,爆笑の接触
Bomb,爆弾
Concussion,爆発
Explosive Bolt,爆発する太矢
Explosive Runes,爆発のルーン
Burst of Speed,爆発的速力
Explosives,爆発物
Bursting Arrow,爆裂の矢
Explosive Cannon,爆裂魔導砲
The Binding Stone,縛めの石
Binding Flame,縛める炎
Boon of the Unfettered,縛られざる者の証
chaining,縛鎖
Field Ward,畑区
Circle of Eight,八者の円
THE RACE OF EIGHT WINDS (23 LHARVION),八風レース（ラーヴィオン月23日）
"Grenade, smoke",発煙グレネード
smoke grenade,発煙グレネード
Going Mad,発狂
Discovery,発見
Discovery,発見
"Discovery, Expansion, Invention",発見、発展、発明
Mark of Finding,発見のマーク
Finder's Guild,発見者ギルド
Finder's Magic,発見者の魔法
Glowing,発光
Seizure,発作
Vocal Resonator,発声装置
Future Quests,発展クエスト
Day of Wonders,発明の日
Hall of Wonders,発明博物館
hair dye,髪染め
Command Hair,髪操り
fine,罰金
Remarkable Athlete,抜群の身体能力
Increased Wisdom,判断力上昇
Resolution and Consequences,判定方法ともたらされる結果
hankyu,半弓
Halving,半分にするときのきまり
Reactive,反応力
Retaliation,反撃の一発
Spiked Retribution,反撃の棘
Reflective Carapace,反射甲羅
Invisibility Response,反射的不可視化
Antimatter rifle,反物質ライフル
"Rebellion, Revolution, Overthrow",反乱、革命、政変
Sailing ship,帆船
Sail Street,帆大通り
Generic NPCs,汎用NPC
Unbreakable Majesty,犯すべからざる威厳
Crime,犯罪
CRIMES AND PUNISHMENTS,犯罪と刑罰
Crime Complications,犯罪の障害
CRIMINAL ACTIVITIES,犯罪活動
Criminal,犯罪者
Criminal Connections,犯罪者のコネ
Variant Criminal: Spy,犯罪者の選択ルール：間者
Crime Syndicate,犯罪組織
Spawning Pools,繁殖池
Barking Box,番犬箱
Brute,蛮力
Vile Transformation,卑しき者への変化
The Far Realm,彼方の領域
The Far Realm: Real Yet Unreal,彼方の領域：非現実的な現実
Touched by the Far Realm: A Wizard's Lamentable Descent into Lunacy,彼方の領域に触れし者：ウィザードが悲惨な狂気に陥いる過程
Far Realm Cysts,彼方の領域の膿疱
Sorrowful Embrace,悲しき抱擁
Sorrowful Presence,悲哀の存在
Mourning,悲嘆（るび：モーニング）
The Mourning,悲嘆￥￥ルビ：モーニング￥
Day of Mourning,悲嘆の日
THE DAY OF MOURNING (20 OLARUNE),悲嘆の日（￥￥るび：デイ・オヴ・モーニング）（オラルーン月20日）
shriek,悲鳴病
Doors,扉
Beyond a Door,扉の向こう側
Door Type,扉の種類
City of Doors,扉の都
One-of-a-Kind Objects,比類無き一品
Wave of Weariness,疲労の波
Tanner Alley,皮なめし通り
Identify Hides,皮革の識別
League of Skinners and Tanners,皮革商および皮なめし職人連盟
Excoriate,皮剥がれ
Flensing Claws,皮剥ぐ爪
Mystic Arcanum,秘奥義
Mystery Cults,秘教カルト
Arcane Jolt,秘術ショック
Arcane Initiate,秘術のたしなみ
Arcane Blast,秘術の怪光線
Scholars of the Arcane,秘術の学者
Arcane Tradition,秘術の学派
Arcane Origin,秘術の起源
Arcane Cataclysm,秘術の災
Hosttower of the Arcane,秘術の主の塔
Arcane Chambers,秘術の部屋部屋
Arcane Ward,秘術の防壁
Arcana Domain,秘術の領域
arcane mark,秘術印
Arcane Recovery,秘術回復
Knights Arcane,秘術騎士団
Arcane Shot,秘術射撃
Arcane Shot Options,秘術射撃の射法
Arcane Mastery,秘術呪文修得
Arcane Firearm,秘術銃
arcane focus,秘術焦点具
Enhanced Arcane Focus,秘術焦点具強化
ARCANE ORDERS,秘術組織
Arcane Brotherhood,秘術団
Arcane Initiative,秘術的発展構想
Arcane Congress,秘術評議会
Arcane Magic Users,秘術魔法の使い手
Keeper of Secrets,秘知の独占者
glyphscribe,秘文の書記
Glyph Key,秘文鍵
Secrets,秘密
Secrets Deck,秘密デッキ
Hidden Paths,秘密の通り道
Delvers into Secrets,秘密を求めてやまぬ者
Maccath the Crimson,緋色のマッカス
Hidden List,非公開リスト方式
Blindsense,非視覚的感知
Incorporeal Movement,非実体移動
Very easy,非常に簡単
Very hard,非常に困難
"Magnificus, wizard extraordinaire",非凡なるウィザード、マグニフィカス
nonmagical attack,非魔法的攻撃
skyship,飛
Pounce,飛びかかり
Airship,飛空船
Airship,飛空船
skyship,飛空船
skyship,飛空船
How It Works,飛空船のしくみ／ライトニング・レイルのしくみ
soarsled,飛空橇
Flight,飛行
Fly,飛行
Flying Creatures and Falling,飛行クリーチャーと落下
Flying Monster,飛行モンスター
Flying Fortress,飛行要塞
Tail,尾
Tail Spike,尾のトゲ
Tail Spike Regrowth,尾のトゲ再生
Tail Attack,尾の攻撃
Tail Spine,尾の針
Tail Swipe,尾の大振り
Tail Stinger,尾の毒針
Our Smiling Lady,微笑む女神
bisento,眉尖刀
Temple of Beauty,美の寺院
Pools of Beauty,美の泉
Beard,髭
Slaying Longbow,必殺のロングボウ
Inevitable Outcome,必然的結末
Boon of Peerless Aim,必中の証
Unerring Slam,必中叩きつけ
d20 Roll Needed,必要なd20ロール値
brush,筆
Scribe's Insight,筆記者の洞察力
First Scribe,筆頭書記官
Head Consort,筆頭配偶者
Way of the Brush,筆道
"The Beastlands, the Wilderness of",百獣の原野ビーストランズ
cohort,百人隊
signifier,百卒長
Myriad Planes,百万世界
Mask of Many Faces,百面相
Standard Languages,標準的な言語
Standard Exchange Rates,標準的な交換レート
standard set of score,標準的な能力値セット
Sea of Ice,氷の海
ice spear,氷の槍
Ice Barbarians,氷の蛮族
Wall of Ice,氷の壁
Icedawn,氷の夜明け
Freeze,氷結
Ice Mountains,氷山脈
Ice Spire Mountains,氷尖山脈
Use the Table,表を使う
Using Your Face and Arms,表情と身ぶりを活用する
Leopard,豹
leopard people,豹人
Painting and Drawing,描画
description,描写のみ
Corrupted Vengeance,病を運ぶ自爆
Diseases,病気
Lady of Poison,病気の女王
Sample Diseases,病気の例
Solemn Order of Recognized Furriers and Woolmen,品質本位にして信用第一なる毛皮屋と羊毛屋の組合
SHORTAGES,品不足
The Coast Way,浜道
Poor Depth Perception,貧弱な距離感
Poor,貧乏
Unsettling Visage,不安を誘う姿
Unstable Mark,不安定なマーク
Surprise Attack,不意討ち攻撃
Surprise Attack,不意討ち攻撃
Invisibility,不可視
Invisible Passage,不可視の往来
Invisibility Field,不可視の場
Invisibility,不可視化
Detect Invisibility,不可視感知
Shared Invisibility,不可視共有
See Invisibility,不可視視認
invisible,不可視状態
Unbreakable,不壊
Indestructible Life,不壊の生命
Repulsive,不快
Rancid Degeneration,不快な変質
inert,不活性な状態
inactive,不活性な状態になり
Inert,不活性時
Eerie Resemblance,不気味な相似
Turn the Faithless,不義なる者退散
the Maimed God,不具の神
Indomitable,不屈
Steadfast,不屈
the Indomitable,不屈なる者
Fanatical Focus,不屈の狂信
Unyielding Spirit,不屈の魂
Tireless Spirit,不屈の侍魂
Society of Stalwart Adventurers,不屈の冒険者協会
Bulwark,不屈の防陣
Indomitable Strength,不屈の力
Maid of Misfortune,不幸の乙女
Maiden of Misfortune,不幸の乙女
House of Wonder,不思議の館
Demon prince of Undeath,不死のデーモン・プリンス
the Demon prince of Undeath,不死のデーモン・プリンス
Undying King,不死の王
The Undying Court,不死宮廷
Undying Court,不死宮廷
Unlying Court,不死宮廷
The Citadel of the Court,不死宮廷の砦
Prince of Undeath,不死者の首魁
everlasting one,不死身なる者
Flames of the Phoenix,不死鳥の猛火
Fallible Invisibility,不充分な不可視
Vile Curse,不浄の呪い
Vile Lore,不浄の知識
Turn the Unholy,不浄者退散
Faithless,不信心者
Sickened,不調
Amorphous,不定形
Invalid Spell Targets,不適切なものを呪文の目標にする
Invincible Conqueror,不敗の覇王
immortal nature,不滅の存在の性質
Eternal Order,不滅騎士団
Disadvantage,不利
Detrimental Manifestations,不利益な現象
Charm of Agelessness,不老の恵み
Boon of Immortality,不老不死の証
Immortal Being,不老不死の存在
Immortal Caverns,不老不死の洞窟
Discord,不和
Sow Discord,不和の芽生え
Relentless Hex,付きまとう呪い
Knuckles,付け根
Appendix: Class Options in Other Worlds,付録：他の世界におけるクラス・オプション
Appendix A: Random Dungeons,付録A：ランダム・ダンジョン
Appendix A: Diabolical Deals,付録A：悪魔との取引
Appendix A: Conditions,付録A：状態
Appendix B: Monster Lists,付録B：モンスターのリスト
Appendix B: Gods of the Multiverse,付録B：多元宇宙の神々
Appendix C: Five Factions,付録C：5つの勢力
Appendix C: Maps,付録C：マップ
APPENDIX C DISCOVERIES,付録C：発見物
Appendix D: Monsters and NPCs,付録D：モンスターとNPC
Appendix F: Trickster Gods of Omu,付録F：オムーのトリックスター神
Wharf Street,埠頭大通り
Ordning of Extravagance,富による位付け
herald,布告官
Repair,布製品修理
fu,斧
ono,斧
Sweeping Axe,斧の薙ぎ払い
Axehand,斧型の手
Beyond the Mundane Life,普通の人生を離れて
Normal Chamber,普通の部屋
common clothes,普通の服
Slow Fall,浮身
floating fortress,浮遊要塞
Urchin,浮浪児
Children of the All-Father,父祖アナムの子ら
Lord of the Rotted Tower,腐れる塔の主
Withering Gaze,腐食の凝視
Corrosive Form,腐食性の体
Lady of Rot and Decay,腐敗と腐食の女王
Contamination,腐敗のオーラ
Rotting Fist,腐敗の拳
Rotting Gaze,腐敗の視線
Corruptor,腐敗の主
Corrupting Touch,腐敗の接触
Rotting Touch,腐敗の接触
Rotting Presence,腐敗もたらす存在
Foul,腐敗臭
Negative Energy Aura,負のエネルギーのオーラ
Negative Energy Cone,負のエネルギーの円錐
Negative Energy Plane,負のエネルギー界
Channel Negative Energy,負のエネルギー放出
Negative Plane,負の次元界
Injuries,負傷の影響
weapon,武器
"Weapon, +1, +2, or +3",武器、＋1、＋2、＋3
Weapon Bond,武器との絆
Master of Arms and Mercenaries,武器と傭兵の長
Base the Damage on the Weapon,武器に基づくダメージ
Whirlwind of Weapons,武器の大旋風
Weapon Malfunction,武器の動作不良
Switching Weapons,武器の入れ替え
weapon station,武器ポスト
Enhanced Weapon,武器強化
Blessing of Weapon Enhancement,武器強化の祝福
Sacred Weapon,武器聖別
Boon of Resilience,武器抵抗の証
Weapon Invention,武器発明
armor and weapon proficiencies,武器防具習熟
Disarm,武器落とし
Wuxia,武侠もの
Wuxia Weapon Names,武侠ものの武器名
Martial Prodigy,武芸の才
Call to Honor,武功の呼び声
Martial Arts,武術
Martial Arts Adept,武術家
Martial Prowess,武勇の技
Boon of Combat Prowess,武勇の証
Maiden's Leap,舞い降りる乙女たち
Worlds of Adventure,舞台となる世界
Set the Stage,舞台を設定する
costume,舞台衣装
Backstage Pass,舞台裏通行許可証
Dancing Court,舞踊広場
Chamber,部屋
Chambers,部屋
Current Chamber State,部屋の現況
Chamber Exits,部屋の出口の数
Chamber Contents,部屋の中身
Chamber Purpose,部屋の用途
General,部将
Tribes and Slums,部族とスラム
Tribal Shaman,部族のまじない師
Tribal Warrior,部族の戦士
Rally the Troops,部隊の奮起
Captain,部隊長
captain,部隊長
feudalism,封建制
hedged prison,封鎖された牢獄
sealing wax,封蝋
Control Air and Water,風と水の制御
Wind Speaker,風に語る者
Elemental Air cult,風のエレメンタルのカルト
Elemental Plane of Air,風の元素界
Wind Soul,風の魂
Wind Queen,風の女王
Air Form,風の体
Wind Javelin,風の投槍
Auran,風界語
Gusts,風起こし
Windwright,風工（ウィンドライト）
Windwright's Intuition,風工の直観
Ride the Wind,風乗り
Wind walking,風乗り
the Windswept Depths of Pandemonium,風吹きすさぶ魔窟パンデモニウム
Exotic Location,風変わりな場所
Howling Hatred,風鳴る憎悪
Prone Deficiency,伏せ状態が弱点
Foreshadowing,伏線
seneschal,副官
Soul of Vengeance,復讐の魂
Vengeful Glare,復讐の視線
Camp Vengeance,復讐の宿営地
Oath of Vengeance,復讐の誓い
Tenets of Vengeance,復讐の誓いの内容
Vengeful Strike,復讐の打撃
A Broad Spectrum,幅広い特徴
Hall of Obedience,服従の間
Hungry Door,腹をすかせた扉
Ventriloquism,腹話術
Complex Traps,複合罠
Complex Trap Experience Awards,複合罠で与える経験点
Complex Traps and Legendary Monsters,複合罠と伝説的モンスター
Running a Complex Trap,複合罠の使い方
Example Complex Traps,複合罠の例
Designing Complex Traps,複合罠をデザインする
Describing a Complex Trap,複合罠を記述する
Defeating Complex Traps,複合罠を克服する
Multipart Encounters,複数のパートからなる遭遇
Multiple Heads,複数の頭部
Multiple Ability Checks,複数回の能力値判定
Multiattack,複数回攻撃
Multiattack,複数回攻撃
Combining Scales,複数規模の地図をくみあわせる
duplicate,複製
Concealed Door,覆い隠された扉
hooded lantern,覆い付きランタン
"lantern, hooded",覆い付きランタン
open flame,覆われていない火
Masked Lord,覆面執政官
Boiling Oil,沸騰した油
Noise,物音
Noises,物音
Watch Alley,物見通り
Storytelling,物語
Story-Based Advancement,物語に基づくレベル上昇
Story Overview,物語の概略
Starting the Story,物語の始めかた
tale carving,物語の浮き彫り
Immersive Storytelling,物語没入型
ruler,物差し
Ordning of Craftwork,物作りによる位付け
Maker's Gift,物作りの天性
Senior Armsmaster,物資管理部長
material(M),物質（要素）
material plane,物質界
Material Echoes,物質界の“谺（￥るび：こだま）
Beyond the Material,物質界の外側
inanimate object,物体（自律行動していないもの）／自律行動能力を持っていない物体
Objects and Damage Types,物体とダメージ種別
Objects,物体について
Object Armor Class,物体のAC
Statistics for Objects,物体のデータ
Object Hit Points,物体のヒット・ポイント
Use an Object,物体の操作
Object Reading,物体解析
PHYSICAL DAMAGE,物理的なダメージ
Physical Cycles,物理的周期
Disintegration,分解
Disintegration Ray,分解光線
commander,分団長
category,分類
Split,分裂
Fiery Blast,噴き出す炎
Prince of Wrath,憤怒の大公
Rallying Cry,奮起の号令
Grinding Jaws,粉砕の大顎
Crushing Blow,粉砕撃
the Shatterer,粉砕者
Shatterstick,粉砕棒
Cultural Alterations,文化の変更
Cultural Chameleon,文化的カメレオン
Stationers' Guild,文具商ギルド
Script,文字
Heard Lane,聞きつけ通り
Platforms,兵員席
Master Armorer,兵器監督
Soldier,兵士
Specialty,兵士の種類
Warrior Pools,兵士の池
Private,兵卒
Soldier,兵卒
sergeant,兵卒長
Soldier's Street,兵隊大通り
flat metal gem,平たい宝石
Law of Averages,平均化の法則
Average Challenge Rating,平均脅威度
Parallel dimension,平行次元界
Foster Peace,平和のために
Emissary of Peace,平和の使者
Locking Pit,閉じ込め落とし穴
Wall Street,壁大通り
Wall Way,壁道
Demolition,壁崩し
Splitting Up,別れて逃げる
Other Hermits,別種の隠者
Ostoria and Other Worlds,別世界のオストリア
Elk,箆鹿族
transformation,変化（￥￥るび：へんげ）
transform,変化（￥￥るび：へんげ）（する／させる）
Transformation Chamber,変化￥￥るび：へんげ￥室
Variations on a Theme,変化をつける
Humans Transformed,変化をとげたヒューマン
Change Shape,変身
change shape,変身
shapeshift,変身
shapeshifting,変身
Shapechanger,変身生物
Transmutation,変成術
Transmutation Savant,変成術の専門家
Master Transmuter,変成術奥義
School of Transmutation,変成術系統
Transmuter,変成術士
Transmuter's Stone,変成術士の石
Create Disguise,変装事前作成
disguise kit,変装用具
Dynamic Element,変動要素
Dueling,片手武器戦闘
Oneshoe,片足靴
One-Eyed Jax,片目のジャックス
Outlander,辺境育ち
Favor,便宜
Useful Knowledge,便利な知識
bian,鞭
flogging,鞭打ち
lasher,鞭打つ者
Wards and Seals,保安と閉鎖
the Keeper,保管者
rations,保存食
Predator Pools,捕え貪る水域
Feed,捕食
Elusive,捕捉不能
walking speed,歩行移動速度
Mark of Sentinel,歩哨のマーク
Sentinel's Intuition,歩哨の直観
Draft,募兵／協力依頼
Spawn of the Grave,墓より生まれ出でる者
the Undertakers,墓掘り一家
Gravemakers,墓守
Rise of the Tomb,墓所の起こり
Master of the Grave,墓所の主
Tomb Guardians,墓所の守護者たち
Tomb inhabitants,墓所の住人たち
Exploring the tomb,墓所の探険
History of the Tomb,墓所の歴史
Claws of the Grave,墓場の爪
Grave Magic,墓場の魔法
Eyes of the Grave,墓場の目
Grave Domain,墓場の領域
Strength of the Grave,墓場の力
Path to the Grave,墓場への道
The Claw of the Sunsets,暮爪月
matron,母長
matron mother,母長
Rule of Matriarchs,母長の支配
Guiding Aspect,倣うべき自然
Engulf,包み込み
Reward,報酬
Rewards,報酬
Awarding Inspiration,報賞としてのインスピレーション
Explosive Retribution,報復の爆発
Treasure Hoard Tables,宝の山表
Using the Treasure Hoard Tables,宝の山表の使いかた
Decipher Treasure Map,宝の地図の判読
Jewelers' Guild,宝飾職人ギルド
Gem,宝石
gemstone,宝石
"Gemstone Burrow, The",宝石の穴倉
Identify Gems,宝石の識別
minimus containment,宝石の中の小人
City of Jewels,宝石の都
Council of Sparkling Stones,宝石議会
Jeweler's tools,宝石細工道具
jewel market,宝石市場
Gem Street,宝石大通り
Jewelry Box,宝石箱
Treasure Chests,宝箱
Treasure Sense,宝物感知
charm of treasure sense,宝物感知の恵み
Crumbling Colossus,崩れる巨像
collapse,崩落
Collapsing Floors,崩落する床
Collapsing Roof,崩落する天井
Embrace,抱擁
Banishing Arrow,放逐の矢
Spendthrift Alley,放蕩通り
the Wandering Tinker,放浪の鋳掛け屋
Wanderer,放浪者
Watcher over Wanderers,放浪者を見守る者
Marshal,法執行官
Barrister's Guild,法廷弁護士ギルド
Code Legal,法典
magister,法務官
magistrate,法務官
Laws and Punishments,法律と刑罰
Frothy Beer,泡立つビール
Cannon Ball,砲弾
The Sewn Sisters,縫いもの姉妹
Sewn Sisters,縫い物姉妹
Spores,胞子
Spore Kissed,胞子宿す者
Swarm of Wasps,蜂の大群
Followers of the Unhindered Path,妨げなき道の信徒会
Forgotten King,忘られし王
Forgotten Folk,忘れ去られた民
Oblivion's End,忘却の果て
Swamp of Oblivion,忘却の沼
The Brutal,暴虐
Uncivil Serpent,暴蛇丸
Runaway Cart,暴走馬車
wild magic,暴走魔法
Wild Mage,暴走魔法の使い手
Gale,暴風
Rebuke the Violent,暴力叱責
bo,棒
